answers,apple,background,oppo,others,question,samsung,vivo,xiaomi,Participant,Question
0,0,2,0,1,0,2,0,0,Participant5,5
0,0,0,0,0,0,0,0,1,Participant5,5
2,0,0,1,2,0,2,0,0,Participant5,5
0,0,0,0,0,0,1,0,0,Participant5,5
0,0,0,0,0,0,3,1,0,Participant5,5
0,0,1,0,0,0,0,0,0,Participant5,5
3,0,4,0,1,1,0,0,0,Participant5,5
0,1,0,0,0,0,0,0,0,Participant5,5
0,0,1,0,0,0,0,0,0,Participant5,5
