Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,1,0,5,1,0,Participant4,11
0,0,2,4,0,0,Participant4,11
1,1,0,1,1,1,Participant4,11
4,2,1,0,5,0,Participant4,11
2,2,2,0,0,0,Participant4,11
0,0,0,1,0,0,Participant4,11
