Participant,TotalDuration,Score,Question,Seconds,Correct
Participant13,273.5,7,bar,23.3,1
Participant13,273.5,7,area,17.4,1
Participant13,273.5,7,stackedarea,23.2,1
Participant13,273.5,7,scatter,24.1,0

Participant14,164.4,6,treemap,20.4,0
Participant14,164.4,6,histogram,10.6,1
Participant14,164.4,6,100stacked,9.0,1
Participant14,164.4,6,map,15.4,0
Participant14,164.4,6,pie,13.9,0
Participant14,164.4,6,bubble,18.5,0
Participant14,164.4,6,stackedbar,13.7,0
Participant14,164.4,6,line,10.2,1
Participant14,164.4,6,bar,11.8,1
Participant14,164.4,6,area,11.0,1
Participant14,164.4,6,stackedarea,16.0,0
Participant14,164.4,6,scatter,13.8,1

Participant15,218.5,10,treemap,16.4,1
Participant15,218.5,10,histogram,19.7,1
Participant15,218.5,10,100stacked,10.8,1
Participant15,218.5,10,map,18.8,1
Participant15,218.5,10,pie,20.7,1
Participant15,218.5,10,bubble,23.8,1
Participant15,218.5,10,stackedbar,22.2,1
Participant15,218.5,10,line,15.8,0
Participant15,218.5,10,bar,19.1,1
Participant15,218.5,10,area,13.7,1
Participant15,218.5,10,stackedarea,25.0,0
Participant15,218.5,10,scatter,12.6,1

Participant16,184.8,7,treemap,12.6,1
Participant16,184.8,7,histogram,8.7,1
Participant16,184.8,7,100stacked,8.8,1
Participant16,184.8,7,map,10.4,1
Participant16,184.8,7,pie,20.5,1
Participant16,184.8,7,bubble,17.7,0
Participant16,184.8,7,stackedbar,24.2,0
Participant16,184.8,7,line,24.5,0
Participant16,184.8,7,bar,10.2,1
Participant16,184.8,7,area,17.5,1
Participant16,184.8,7,stackedarea,14.0,0
Participant16,184.8,7,scatter,16.2,0

Participant17,135.0,9,treemap,9.8,1
Participant17,135.0,9,histogram,8.1,1
Participant17,135.0,9,100stacked,6.5,0
Participant17,135.0,9,map,9.6,1
Participant17,135.0,9,pie,9.6,1
Participant17,135.0,9,bubble,13.3,1
Participant17,135.0,9,stackedbar,16.3,0
Participant17,135.0,9,line,9.5,1
Participant17,135.0,9,bar,7.9,0
Participant17,135.0,9,area9.0,1
Participant17,135.0,9,stackedarea,16.2,1
Participant17,135.0,9,scatter,19.3,1

Participant18,194.2,11,treemap,15.6,1
Participant18,194.2,11,histogram,19.3,1
Participant18,194.2,11,100stacked,14.6,1
Participant18,194.2,11,map,18.6,1
Participant18,194.2,11,pie,16.5,1
Participant18,194.2,11,bubble,14.5,1
Participant18,194.2,11,stackedbar,25.0,0
Participant18,194.2,11,line,10.4,1
Participant18,194.2,11,bar,11.9,1
Participant18,194.2,11,area,9.6,1
Participant18,194.2,11,stackedarea,18.9,1
Participant18,194.2,11,scatter,19.3,1

Participant19,136.4,8,treemap,14.9,0
Participant19,136.4,8,histogram,7.5,1
Participant19,136.4,8,100stacked,8.6,1
Participant19,136.4,8,map,11.2,1
Participant19,136.4,8,pie,13.6,0
Participant19,136.4,8,bubble,9.5,1
Participant19,136.4,8,stackedbar,19.7,0
Participant19,136.4,8,line,7.9,1
Participant19,136.4,8,bar,9.8,1
Participant19,136.4,8,area,12.7,1
Participant19,136.4,8,stackedarea,11.9,1
Participant19,136.4,8,scatter,9.2,0

Participant20,246.2,6,treemap,17.9,0
Participant20,246.2,6,histogram,20.8,1
Participant20,246.2,6,100stacked,18.7,1
Participant20,246.2,6,map,24.5,1
Participant20,246.2,6,pie,25.0,0
Participant20,246.2,6,bubble,25.0,0
Participant20,246.2,6,stackedbar,25.0,0
Participant20,246.2,6,line,12.3,1
Participant20,246.2,6,bar,10.4,1
Participant20,246.2,6,area,18.6,1
Participant20,246.2,6,stackedarea,24.0,0
Participant20,246.2,6,scatter,23.9,0

Participant21,166.1,10,treemap,6.7,1
Participant21,166.1,10,histogram,6.5,1
Participant21,166.1,10,100stacked,9.5,1
Participant21,166.1,10,map,11.6,1
Participant21,166.1,10,pie,11.2,1
Participant21,166.1,10,bubble,14.2,1
Participant21,166.1,10,stackedbar,25.0,0
Participant21,166.1,10,line,11.0,1
Participant21,166.1,10,bar,14.8,1
Participant21,166.1,10,area,10.5,1
Participant21,166.1,10,stackedarea,25.0,0
Participant21,166.1,10,scatter,19.9,1

Participant22,150.7,11,treemap,15.8,1
Participant22,150.7,11,histogram,11.8,1
Participant22,150.7,11,100stacked,9.5,1
Participant22,150.7,11,map,10.3,1
Participant22,150.7,11,pie,10.5,1
Participant22,150.7,11,bubble,12.6,1
Participant22,150.7,11,stackedbar,13.7,0
Participant22,150.7,11,line,9.4,1
Participant22,150.7,11,bar,9.6,1
Participant22,150.7,11,area,14.2,1
Participant22,150.7,11,stackedarea,22.6,1
Participant22,150.7,11,scatter,10.7,1

Participant23,139.7,10,treemap,9.9,1
Participant23,139.7,10,histogram,6.9,1
Participant23,139.7,10,100stacked,8.0,1
Participant23,139.7,10,map,11.1,1
Participant23,139.7,10,pie,14.9,1
Participant23,139.7,10,bubble,15.7,1
Participant23,139.7,10,stackedbar,17.2,0
Participant23,139.7,10,line,9.6,1
Participant23,139.7,10,bar,8.1,1
Participant23,139.7,10,area,11.4,1
Participant23,139.7,10,stackedarea,17.5,1
Participant23,139.7,10,scatter,9.5,0

Participant24,143.2,12,treemap,13.4,1
Participant24,143.2,12,histogram,9.8,1
Participant24,143.2,12,100stacked,6.9,1
Participant24,143.2,12,map,13.7,1
Participant24,143.2,12,pie,12.5,1
Participant24,143.2,12,bubble,10.4,1
Participant24,143.2,12,stackedbar,12.8,1
Participant24,143.2,12,line,9.8,1
Participant24,143.2,12,bar,9.6,1
Participant24,143.2,12,area,10.8,1
Participant24,143.2,12,stackedarea,19.9,1
Participant24,143.2,12,scatter,13.5,1

Participant25,203.9,8,treemap,21.9,1
Participant25,203.9,8,histogram,9.0,1
Participant25,203.9,8,100stacked,8.3,1
Participant25,203.9,8,map,18.4,1
Participant25,203.9,8,pie,25.0,0
Participant25,203.9,8,bubble,19.1,1
Participant25,203.9,8,stackedbar,18.7,0
Participant25,203.9,8,line,10.8,1
Participant25,203.9,8,bar,17.2,0
Participant25,203.9,8,area,15.2,1
Participant25,203.9,8,stackedarea,16.7,0
Participant25,203.9,8,scatter,23.7,1

Participant26,251.8,9,treemap,22.9,1
Participant26,251.8,9,histogram,25.0,0
Participant26,251.8,9,100stacked,19.1,1
Participant26,251.8,9,map,21.5,1
Participant26,251.8,9,pie,20.2,1
Participant26,251.8,9,bubble,16.9,1
Participant26,251.8,9,stackedbar,25.0,0
Participant26,251.8,9,line,13.2,1
Participant26,251.8,9,bar,14.8,1
Participant26,251.8,9,area,24.9,1
Participant26,251.8,9,stackedarea,25.0,0
Participant26,251.8,9,scatter,23.3,1

Participant27,178.0,10,treemap,11.5,1
Participant27,178.0,10,histogram,8.4,1
Participant27,178.0,10,100stacked,11.0,1
Participant27,178.0,10,map,13.2,1
Participant27,178.0,10,pie,14.8,1
Participant27,178.0,10,bubble,11.0,1
Participant27,178.0,10,stackedbar,16.3,0
