Recording timestamp	Sensor	Project name	Participant name	Recording name	Recording duration	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Average calibration accuracy (pixels)	Average calibration precision SD (pixels)	Average calibration precision RMS (pixels)	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Presented Stimulus name	Presented Media name	Presented Media width	Presented Media height	Presented Media position X (DACSpx)	Presented Media position Y (DACSpx)	Original Media width	Original Media height	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Client area position X (DACSpx)	Client area position Y (DACSpx)	Viewport position X	Viewport position Y	Viewport width	Viewport height	Full page width	Full page height	Mouse position X	Mouse position Y
0		Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8	RecordingStart																																																										
112		Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8	Eye tracker TTL in	255																																									EyesNotFound	183.0	1.0														
112	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
120	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
128	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
137	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
145	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
153	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
162	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
170	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
178	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
187	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
195	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
203	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
212	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
220	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
228	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
237	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
245	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
253	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
262	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
270	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
278	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
287	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8																	Invalid	Invalid																									EyesNotFound	183.0	1.0														
295	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8			839.0	317.0			839.0	317.0				-0.10724	0.04588	-0.99317		2.65	Invalid	Valid				293.7	60.2	582.2			230.8	87.1															Saccade	17.0	1.0														
303	Eye Tracker	Project19	Participant4	Recording4	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8			1090.0	368.0	1090.0	368.0			0.11955	0.06923	-0.99041				2.62		Valid	Invalid	228.6	59.9	588.8				299.7	101.1																	Saccade	17.0	1.0														
