answers,background,question,rest_left,rest_right,year_2012,Participant,Question
0,1,0,1,0,0,Participant53,11
1,0,9,2,5,2,Participant53,11
0,12,0,0,0,0,Participant53,11
0,4,1,0,0,0,Participant53,11
1,2,2,1,0,0,Participant53,11
0,1,0,1,0,0,Participant53,11
