t,x,y
183112,0.4892,0.6582
183350,0.4197,0.207
183533,0.3572,0.2023
183758,0.3999,0.1973
183966,0.4304,0.1952
184166,0.4887,0.189
184358,0.4702,0.1942
184491,0.5198,0.1914
184758,0.565,0.1937
185058,0.5913,0.2053
185225,0.6288,0.2002
185391,0.4766,0.2179
185775,0.4573,0.6114
186216,0.514,0.5843
186591,0.4914,0.5991
186800,0.4635,0.5899
187133,0.5728,0.5849
187566,0.5892,0.5615
187900,0.5834,0.3499
188466,0.4061,0.3653
188900,0.535,0.3517
189383,0.4069,0.3698
189666,0.448,0.749
189841,0.4873,0.7462
190114,0.4922,0.7067
190391,0.4952,0.7802
191058,0.4828,0.8826
192041,0.4973,0.6773
