answers,background,city_left,city_right,legend,seoul,y_axis,Participant,Question
0,0,0,1,0,0,1,Participant24,7
0,0,1,1,0,0,0,Participant24,7
0,0,0,1,0,3,0,Participant24,7
0,1,1,0,0,1,0,Participant24,7
0,0,1,1,0,0,0,Participant24,7
0,0,0,0,1,0,0,Participant24,7
0,0,1,0,1,0,2,Participant24,7
2,1,0,0,0,0,0,Participant24,7
