answers,background,city_left,city_right,legend,question,seoul,y_axis,Participant,Question
0,1,0,0,0,0,1,0,Participant7,7
0,0,2,5,4,0,4,0,Participant7,7
1,1,0,0,1,0,1,2,Participant7,7
1,4,1,0,1,1,4,0,Participant7,7
0,2,0,1,0,1,2,0,Participant7,7
0,0,0,2,0,0,0,0,Participant7,7
1,4,1,4,0,0,0,4,Participant7,7
0,2,2,0,0,0,2,0,Participant7,7
