answers,background,others,question,samsung,vivo,xiaomi,Participant,Question
0,2,1,0,2,0,1,Participant62,5
3,0,1,1,1,0,0,Participant62,5
2,3,0,0,1,1,0,Participant62,5
1,1,0,0,0,0,0,Participant62,5
0,0,5,0,0,0,0,Participant62,5
0,0,1,0,0,0,0,Participant62,5
0,0,0,0,1,0,0,Participant62,5
