t,x,y
121851,0.4987,0.5205
122059,0.5072,0.3775
122342,0.4893,0.2137
122600,0.5077,0.2249
122809,0.5907,0.1935
123267,0.4448,0.1952
123592,0.5236,0.196
124034,0.4376,0.1915
124284,0.4105,0.1996
124534,0.4909,0.207
124775,0.531,0.1991
125100,0.5743,0.2243
125259,0.5757,0.2422
125592,0.526,0.3029
125784,0.4279,0.2819
125992,0.3748,0.2919
126167,0.4754,0.264
126492,0.4437,0.2689
126759,0.4945,0.2658
126967,0.562,0.2665
127159,0.5507,0.2331
127459,0.6325,0.188
127717,0.5301,0.196
128000,0.5109,0.2612
128489,0.4735,0.5188
128665,0.4702,0.5573
128889,0.4903,0.5539
129542,0.3724,0.3375
129742,0.3844,0.2919
130175,0.4317,0.2862
130367,0.462,0.6262
130517,0.4695,0.5959
130767,0.582,0.6195
131209,0.5623,0.615
131334,0.4486,0.5821
131567,0.4689,0.5889
132034,0.461,0.3112
132275,0.4649,0.2871
132634,0.4747,0.6063
133284,0.4912,0.683
133525,0.4869,0.7391
134009,0.4872,0.8037
134359,0.5084,0.8021
134784,0.4969,0.8737
135192,0.5222,0.3486
135342,0.6854,0.1675
135642,0.5308,0.6476
135975,0.5144,0.7781
136542,0.5029,0.8392
137034,0.5293,0.734
137417,0.5095,0.7426
