answers,apple,background,others,question,samsung,vivo,xiaomi,Participant,Question
0,1,0,0,0,1,0,1,Participant25,5
0,0,0,0,0,0,3,0,Participant25,5
2,0,0,1,5,1,0,0,Participant25,5
1,0,1,0,0,4,2,0,Participant25,5
0,0,5,1,0,0,0,0,Participant25,5
0,0,1,2,0,0,0,3,Participant25,5
0,0,1,2,1,1,0,0,Participant25,5
0,2,0,2,0,0,0,0,Participant25,5
