answers,background,grid_0_0,grid_0_1,grid_0_2,grid_1_1,grid_1_2,grid_2_1,grid_2_2,grid_3_2,grid_3_3,Participant,Question
0,3,0,1,0,0,0,0,0,0,0,Participant14,12
3,0,1,1,1,0,1,1,0,0,0,Participant14,12
0,1,0,0,0,1,0,0,0,0,0,Participant14,12
0,2,1,0,0,0,0,0,0,0,0,Participant14,12
0,0,0,0,0,0,1,0,0,0,0,Participant14,12
1,2,0,0,0,0,0,0,0,1,0,Participant14,12
0,0,0,0,0,2,0,0,0,0,0,Participant14,12
0,0,0,0,0,1,0,0,0,0,0,Participant14,12
0,0,0,1,0,0,0,0,0,0,0,Participant14,12
0,0,0,0,0,0,0,0,0,0,1,Participant14,12
0,0,0,0,0,0,0,0,1,0,0,Participant14,12
