Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,3,0,6,Participant9,11
2,0,0,2,0,0,Participant9,11
0,0,0,0,0,2,Participant9,11
2,1,2,0,2,4,Participant9,11
0,0,0,3,0,0,Participant9,11
6,3,0,2,1,0,Participant9,11
