answers,background,city_left,city_right,legend,seoul,y_axis,Participant,Question
0,1,0,0,0,0,0,Participant22,7
0,0,1,1,0,0,2,Participant22,7
0,1,0,0,0,1,2,Participant22,7
0,0,0,0,0,1,0,Participant22,7
0,0,0,0,0,1,0,Participant22,7
0,0,0,0,0,1,0,Participant22,7
0,1,2,0,1,0,1,Participant22,7
1,1,1,1,0,1,0,Participant22,7
