Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,3,0,1,Participant20,11
1,0,1,3,0,0,Participant20,11
2,0,0,1,1,0,Participant20,11
2,4,1,0,2,1,Participant20,11
0,0,1,2,0,0,Participant20,11
0,1,1,0,0,0,Participant20,11
