regionid,fixation_count,dwell_time,mean_duration
1,1,192.0,192.0
2,6,909.0,151.5
3,2,500.0,250.0
4,6,1601.0,266.8333333333333
5,2,383.0,191.5
6,2,242.0,121.0
7,0,0.0,0.0
8,12,3394.0,282.8333333333333
9,0,0.0,0.0
10,2,409.0,204.5
11,0,0.0,0.0
12,0,0.0,0.0
13,0,0.0,0.0
14,3,767.0,255.66666666666666
15,4,593.0,148.25
16,0,0.0,0.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,2,591.0,295.5
21,4,800.0,200.0
22,1,167.0,167.0
23,1,142.0,142.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,3,633.0,211.0
28,5,1525.0,305.0
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,3,817.0,272.3333333333333
34,3,808.0,269.3333333333333
35,0,0.0,0.0
36,0,0.0,0.0
