regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,2,442.0,221.0
3,8,1659.0,207.375
4,4,758.0,189.5
5,3,850.0,283.3333333333333
6,0,0.0,0.0
7,4,1042.0,260.5
8,5,1083.0,216.6
9,0,0.0,0.0
10,3,591.0,197.0
11,5,834.0,166.8
12,4,1224.0,306.0
13,0,0.0,0.0
14,1,117.0,117.0
15,13,2526.0,194.30769230769232
16,9,2291.0,254.55555555555554
17,2,458.0,229.0
18,0,0.0,0.0
19,0,0.0,0.0
20,2,391.0,195.5
21,4,691.0,172.75
22,9,1757.0,195.22222222222223
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,0,0.0,0.0
28,6,1191.0,198.5
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,1,225.0,225.0
34,7,2108.0,301.14285714285717
35,0,0.0,0.0
36,0,0.0,0.0
