from_region,2,3,4,5,7,8,10,11,12,14,15,16,17,20,21,22,28,33,34
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
8,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
10,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,0,0,0,0,1,2,0,1,0,0,5,2,0,0,1,0,0,1,0
16,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,1,0,0,0
17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,1
28,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3
