Rest,Rest1,answers,background,year_2012,Participant,Question
0,1,0,6,2,Participant26,11
0,0,2,3,0,Participant26,11
1,1,0,4,0,Participant26,11
7,3,4,0,0,Participant26,11
1,0,0,1,0,Participant26,11
