answers,background,rest_left,rest_right,year_2012,Participant,Question
0,2,0,0,0,Participant63,11
1,0,2,9,0,Participant63,11
0,2,0,2,1,Participant63,11
0,6,3,0,3,Participant63,11
1,2,1,1,0,Participant63,11
