t,x,y
162150,0.6512,0.0915
162470,0.4695,0.1478
162603,0.374,0.129
162745,0.3643,0.1422
162920,0.3882,0.1424
163203,0.3758,0.1434
163445,0.4209,0.1424
163670,0.4577,0.1441
163878,0.5005,0.1473
164095,0.5348,0.1445
164452,0.5598,0.1474
164661,0.6143,0.1464
164853,0.6341,0.144
165028,0.5911,0.1447
165252,0.5064,0.1866
165452,0.4737,0.1765
165728,0.6134,0.3581
166244,0.6058,0.3466
166545,0.6068,0.344
166828,0.582,0.3816
166995,0.582,0.3792
167211,0.6083,0.3267
167495,0.5749,0.319
167678,0.5556,0.206
167978,0.602,0.158
168095,0.633,0.1403
168336,0.6128,0.3785
168686,0.5681,0.412
168916,0.4393,0.4153
169053,0.402,0.4215
169295,0.5958,0.3742
169561,0.5357,0.1411
169728,0.4447,0.1484
169970,0.4139,0.1373
170253,0.5032,0.6121
170428,0.4857,0.7432
170553,0.4944,0.6968
170711,0.4972,0.6705
170961,0.5533,0.4527
171328,0.5817,0.4786
171553,0.5943,0.4892
171770,0.4437,0.4473
171928,0.6272,0.3731
172070,0.5717,0.1577
172268,0.5056,0.1877
172452,0.4747,0.1847
172645,0.4599,0.6002
173003,0.4795,0.6104
173128,0.4994,0.6079
173295,0.5232,0.6079
173645,0.5046,0.1787
174053,0.5149,0.3243
174195,0.5325,0.4302
174403,0.5336,0.4591
174645,0.5414,0.5842
174845,0.5416,0.6088
175028,0.5463,0.5228
175245,0.5425,0.4805
175903,0.5415,0.4274
176770,0.5419,0.4016
177128,0.4969,0.7423
178470,0.5196,0.5014
178728,0.5435,0.4661
179036,0.545,0.5019
179236,0.5478,0.4334
179886,0.487,0.7611
180178,0.497,0.7304
180761,0.5427,0.5009
181011,0.4912,0.8298
181278,0.5008,0.7715
181403,0.4988,0.6995
181636,0.4942,0.788
181778,0.4997,0.8687
181961,0.5291,0.4627
