Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,1,0,0,0,1,Participant13,11
0,0,2,3,0,3,Participant13,11
0,1,0,2,0,2,Participant13,11
1,1,2,0,5,2,Participant13,11
1,1,0,2,0,0,Participant13,11
0,4,1,3,0,0,Participant13,11
