Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,3,0,0,Participant5,11
0,0,1,6,0,0,Participant5,11
1,0,0,5,0,0,Participant5,11
2,5,3,0,3,3,Participant5,11
0,0,0,3,0,0,Participant5,11
0,2,1,0,0,0,Participant5,11
