t,x,y
253613,0.5109,0.3096
253941,0.5269,0.3179
254108,0.5695,0.3168
254333,0.5286,0.315
254549,0.573,0.3197
254691,0.5322,0.3163
254941,0.5128,0.2789
255083,0.4311,0.251
255299,0.5404,0.2712
255508,0.5842,0.2813
255716,0.6219,0.2876
255924,0.5598,0.2924
256208,0.6082,0.2863
256474,0.6416,0.2872
256649,0.6644,0.2845
256791,0.5332,0.29
257008,0.5429,0.2918
257166,0.525,0.3135
257466,0.5238,0.4933
257658,0.4831,0.6124
258016,0.5683,0.3012
258249,0.5452,0.3075
258449,0.5944,0.6332
258741,0.6061,0.6414
259333,0.6155,0.6319
259583,0.622,0.6144
259916,0.626,0.4173
260466,0.4506,0.3969
261091,0.4205,0.3963
261274,0.4198,0.3739
261583,0.4519,0.3935
261883,0.4235,0.3573
262183,0.5143,0.7058
262449,0.5149,0.7914
262624,0.5123,0.7262
263183,0.608,0.4563
263341,0.6182,0.4191
264266,0.4569,0.3967
264425,0.4461,0.3938
265000,0.6147,0.4168
265291,0.5252,0.7694
265450,0.5013,0.8005
265805,0.5009,0.846
266200,0.5011,0.8935
266450,0.5333,0.7168
266858,0.54,0.3715
