answers,background,others,question,samsung,vivo,xiaomi,Participant,Question
0,6,1,0,1,0,0,Participant53,5
3,0,2,3,1,0,0,Participant53,5
3,1,0,0,1,1,0,Participant53,5
0,2,0,0,0,0,1,Participant53,5
2,0,3,0,0,0,0,Participant53,5
0,0,0,0,1,0,0,Participant53,5
0,0,0,0,1,0,0,Participant53,5
