t,x,y
69432,0.518,0.4144
69848,0.4429,0.3979
70139,0.3849,0.2083
70273,0.3681,0.094
70506,0.3255,0.0938
70648,0.2574,0.0369
70973,0.3309,0.0744
71198,0.4158,0.2437
71373,0.5699,0.4581
71514,0.6023,0.498
71831,0.3327,0.3953
71998,0.2593,0.1059
72123,0.4476,0.2647
72398,0.4155,0.1961
72639,0.4815,0.2019
72839,0.5229,0.1986
73104,0.4086,0.1346
73264,0.3799,0.1406
73514,0.4292,0.1386
73673,0.5815,0.1461
73839,0.6105,0.1461
73998,0.4635,0.1494
74239,0.4319,0.1518
74448,0.4988,0.159
74898,0.3971,0.2909
75081,0.3914,0.4187
75298,0.4773,0.4277
75523,0.5543,0.3955
75648,0.4164,0.2863
75773,0.4041,0.2593
75989,0.5618,0.272
76314,0.5645,0.3188
76564,0.6071,0.3371
76839,0.5981,0.2848
77048,0.5871,0.5147
77281,0.568,0.512
77398,0.6146,0.56
77681,0.5082,0.5624
77989,0.3911,0.5457
78214,0.5728,0.3998
78381,0.5577,0.3897
78556,0.5677,0.4946
78823,0.5537,0.3652
79148,0.4963,0.7751
79312,0.5027,0.8037
80473,0.5113,0.8024
81014,0.5226,0.2999
81288,0.4373,0.2267
81504,0.4182,0.2244
81931,0.499,0.7535
82273,0.514,0.6811
82514,0.5054,0.7055
82714,0.6578,0.6827
83031,0.5089,0.7607
83231,0.5024,0.8116
83544,0.5076,0.6623
83764,0.6657,0.6465
84156,0.5069,0.667
84506,0.6595,0.6495
84680,0.6693,0.6616
84856,0.4964,0.8096
85223,0.5005,0.7605
85506,0.505,0.8008
85998,0.4971,0.73
86281,0.539,0.3366
86481,0.4667,0.3037
86744,0.4357,0.2455
