t,x,y
94567,0.5085,0.2277
94815,0.4714,0.2095
95107,0.3829,0.1319
95348,0.4233,0.1404
95548,0.4504,0.1361
95732,0.47,0.1379
95890,0.4923,0.1413
96090,0.5122,0.1453
96257,0.5472,0.145
96465,0.5631,0.1464
96632,0.5891,0.1483
96840,0.6238,0.1434
97157,0.496,0.1883
97273,0.4846,0.2006
97470,0.4708,0.2016
97682,0.4785,0.2888
98115,0.4766,0.5578
98215,0.4747,0.5962
98662,0.4819,0.2941
98948,0.4836,0.5667
99065,0.4906,0.6027
99282,0.4004,0.285
99515,0.3848,0.2925
99723,0.3804,0.4165
99940,0.38,0.3137
100140,0.3816,0.2693
100307,0.5175,0.6554
100415,0.545,0.6342
100565,0.5647,0.6449
100757,0.4689,0.6101
101190,0.4706,0.2804
101457,0.503,0.6465
101573,0.5038,0.7228
101757,0.4996,0.7
101903,0.4932,0.7398
102090,0.4905,0.7672
102523,0.4953,0.8377
103382,0.5024,0.9146
103732,0.5036,0.7999
104182,0.6547,0.8181
104415,0.5076,0.9543
104557,0.4967,0.9433
104782,0.4702,0.2714
104973,0.4644,0.2095
