answers,background,question,rest_left,rest_right,year_2012,Participant,Question
0,0,2,1,2,0,Participant65,11
0,1,0,2,1,0,Participant65,11
0,0,2,0,0,1,Participant65,11
1,3,0,0,0,1,Participant65,11
0,1,0,0,1,0,Participant65,11
