t,x,y
201698,0.5013,0.6991
201994,0.4705,0.2867
202177,0.4807,0.151
202386,0.4072,0.1268
202611,0.4409,0.1389
202827,0.4767,0.1409
203069,0.5481,0.1407
203294,0.494,0.1388
203486,0.4649,0.1455
203686,0.5356,0.1458
203877,0.5133,0.1492
203994,0.5699,0.142
204336,0.5897,0.1415
204627,0.4699,0.1973
204819,0.4495,0.197
205019,0.5355,0.1957
205311,0.5219,0.2452
205577,0.5369,0.2561
205911,0.6255,0.4425
207986,0.6043,0.3786
208336,0.525,0.2654
208527,0.5172,0.1584
208744,0.507,0.1459
209011,0.4281,0.1373
209202,0.4844,0.133
209394,0.5838,0.139
209636,0.5461,0.1442
209819,0.5639,0.1441
209977,0.6014,0.1368
210202,0.5238,0.238
210452,0.4045,0.2453
210802,0.4687,0.1898
211152,0.3848,0.2941
211377,0.3791,0.3794
211594,0.4691,0.5372
211861,0.5054,0.6022
212027,0.5258,0.5788
212194,0.5516,0.5849
212402,0.495,0.5821
212611,0.5267,0.407
212827,0.5237,0.3801
215486,0.5104,0.3718
215986,0.461,0.4249
216302,0.4239,0.5026
216509,0.4412,0.5441
216736,0.6219,0.4454
217019,0.5346,0.6904
217149,0.5076,0.6869
217427,0.5218,0.6879
217636,0.5508,0.294
217802,0.5819,0.2895
218002,0.5968,0.2917
218244,0.5218,0.7211
218352,0.5198,0.6555
218502,0.5077,0.6905
218744,0.5189,0.8516
218961,0.5066,0.852
219527,0.4989,0.6703
219952,0.6536,0.6826
220227,0.506,0.8473
220561,0.4949,0.2481
