regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
4,1,275.0,275.0
5,0,0.0,0.0
6,1,125.0,125.0
7,1,250.0,250.0
8,12,3191.0,265.9166666666667
9,10,2167.0,216.7
10,9,2174.0,241.55555555555554
11,10,1867.0,186.7
12,2,359.0,179.5
13,0,0.0,0.0
14,3,1100.0,366.6666666666667
15,2,342.0,171.0
16,1,167.0,167.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,0,0.0,0.0
21,4,1000.0,250.0
22,9,1833.0,203.66666666666666
23,2,534.0,267.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,1,175.0,175.0
28,8,1942.0,242.75
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
