Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,1,2,0,2,Participant25,11
1,0,0,0,0,0,Participant25,11
2,1,0,1,0,0,Participant25,11
2,0,2,0,1,2,Participant25,11
1,0,0,0,0,0,Participant25,11
0,0,1,3,0,0,Participant25,11
