t,x,y
118362,0.4228,0.141
118489,0.3984,0.1184
118664,0.4607,0.125
118914,0.4982,0.1218
119139,0.5158,0.1249
119314,0.4477,0.1224
119647,0.4276,0.1218
119747,0.416,0.1226
120181,0.5553,0.1555
120556,0.5773,0.1538
120806,0.5496,0.151
121114,0.4361,0.5711
121314,0.3864,0.568
121747,0.4855,0.5796
121956,0.4422,0.5723
122189,0.4275,0.5646
122406,0.4343,0.5488
122572,0.4373,0.4747
122797,0.605,0.3178
123081,0.6143,0.29
123189,0.6203,0.3382
123439,0.6153,0.2691
123706,0.612,0.2954
124272,0.5978,0.3085
124639,0.447,0.3463
125047,0.3592,0.3203
125264,0.3552,0.2516
125422,0.3396,0.2457
125627,0.4264,0.3325
126081,0.3827,0.3335
126256,0.3692,0.325
126581,0.3821,0.3297
127006,0.4366,0.3361
127897,0.4199,0.35
128506,0.3755,0.3537
128764,0.4016,0.3304
128922,0.365,0.3392
129156,0.3728,0.3526
129597,0.4725,0.6597
129771,0.4958,0.7147
130006,0.4993,0.7751
130611,0.5016,0.7407
130797,0.4964,0.8522
130939,0.5015,0.8337
131122,0.4942,0.699
131331,0.5023,0.6836
131506,0.4977,0.8123
131772,0.5089,0.9511
132089,0.4875,0.3643
