Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,1,0,0,Participant27,11
0,0,1,4,1,2,Participant27,11
0,1,0,0,0,0,Participant27,11
0,3,0,0,3,2,Participant27,11
0,2,0,3,0,0,Participant27,11
1,3,0,0,0,0,Participant27,11
