regionid,fixation_count,dwell_time,mean_duration
1,1,233.0,233.0
2,7,1192.0,170.28571428571428
3,7,1284.0,183.42857142857142
4,2,717.0,358.5
5,1,333.0,333.0
6,0,0.0,0.0
7,0,0.0,0.0
8,3,767.0,255.66666666666666
9,2,383.0,191.5
10,0,0.0,0.0
11,16,3950.0,246.875
12,0,0.0,0.0
13,0,0.0,0.0
14,1,217.0,217.0
15,4,567.0,141.75
16,1,158.0,158.0
17,2,283.0,141.5
18,0,0.0,0.0
19,0,0.0,0.0
20,2,508.0,254.0
21,2,233.0,116.5
22,2,400.0,200.0
23,3,434.0,144.66666666666666
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,3,491.0,163.66666666666666
28,4,1451.0,362.75
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,1,142.0,142.0
34,1,342.0,342.0
35,0,0.0,0.0
36,0,0.0,0.0
