from_region,2,3,4,5,7,8,11,14,15,17,20,21,27,28,34
2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0
14,0,0,0,0,0,1,0,5,1,0,0,0,1,0,0
15,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
21,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
34,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
