regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,4,559.0,139.75
3,2,550.0,275.0
4,4,974.0,243.5
5,1,233.0,233.0
6,0,0.0,0.0
7,3,509.0,169.66666666666666
8,1,308.0,308.0
9,0,0.0,0.0
10,0,0.0,0.0
11,5,1475.0,295.0
12,0,0.0,0.0
13,0,0.0,0.0
14,8,2549.0,318.625
15,4,1858.0,464.5
16,0,0.0,0.0
17,1,225.0,225.0
18,0,0.0,0.0
19,0,0.0,0.0
20,2,600.0,300.0
21,4,717.0,179.25
22,0,0.0,0.0
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,1,150.0,150.0
28,5,1309.0,261.8
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,3,516.0,172.0
35,0,0.0,0.0
36,0,0.0,0.0
