regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,2,375.0,187.5
3,3,533.0,177.66666666666666
4,5,968.0,193.6
5,2,442.0,221.0
6,1,142.0,142.0
7,0,0.0,0.0
8,1,208.0,208.0
9,5,2083.0,416.6
10,0,0.0,0.0
11,0,0.0,0.0
12,0,0.0,0.0
13,0,0.0,0.0
14,0,0.0,0.0
15,1,433.0,433.0
16,0,0.0,0.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,0,0.0,0.0
21,4,1025.0,256.25
22,3,925.0,308.3333333333333
23,1,92.0,92.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,3,691.0,230.33333333333334
28,2,475.0,237.5
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,1,392.0,392.0
34,1,142.0,142.0
35,0,0.0,0.0
36,0,0.0,0.0
