regionid,fixation_count,dwell_time,mean_duration
1,1,150.0,150.0
2,1,533.0,533.0
3,2,292.0,146.0
4,7,1541.0,220.14285714285714
5,4,725.0,181.25
6,1,142.0,142.0
7,1,817.0,817.0
8,8,1500.0,187.5
9,5,1083.0,216.6
10,2,483.0,241.5
11,6,1884.0,314.0
12,1,200.0,200.0
13,0,0.0,0.0
14,4,1309.0,327.25
15,10,2901.0,290.1
16,3,584.0,194.66666666666666
17,2,200.0,100.0
18,0,0.0,0.0
19,0,0.0,0.0
20,2,525.0,262.5
21,5,1409.0,281.8
22,6,1143.0,190.5
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,4,742.0,185.5
28,9,2408.0,267.55555555555554
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,1,133.0,133.0
35,0,0.0,0.0
36,0,0.0,0.0
