regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,14,3614.0,258.14285714285717
3,8,1816.0,227.0
4,5,1241.0,248.2
5,2,483.0,241.5
6,0,0.0,0.0
7,0,0.0,0.0
8,9,1534.0,170.44444444444446
9,4,775.0,193.75
10,4,1117.0,279.25
11,1,333.0,333.0
12,0,0.0,0.0
13,0,0.0,0.0
14,0,0.0,0.0
15,3,575.0,191.66666666666666
16,1,133.0,133.0
17,1,133.0,133.0
18,0,0.0,0.0
19,0,0.0,0.0
20,2,342.0,171.0
21,1,167.0,167.0
22,5,1741.0,348.2
23,1,125.0,125.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,2,267.0,133.5
28,4,709.0,177.25
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
