from_region,2,3,4,5,8,9,10,11,15,16,17,20,21,22,23,27,28
2,5,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
3,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
9,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
28,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
