answers,background,others,question,samsung,vivo,Participant,Question
0,1,0,0,2,0,Participant27,5
1,0,0,0,1,1,Participant27,5
0,0,0,0,2,0,Participant27,5
0,0,2,0,0,0,Participant27,5
2,1,1,1,0,0,Participant27,5
0,0,0,1,0,0,Participant27,5
