t,x,y
169200,0.528,0.2547
169415,0.4792,0.202
169848,0.4986,0.1979
170073,0.4307,0.1461
170248,0.4626,0.1462
170432,0.4883,0.146
170707,0.5205,0.1513
170882,0.5449,0.1545
171348,0.5211,0.1432
171465,0.5552,0.1455
171807,0.5819,0.1465
171990,0.5966,0.1471
172382,0.4844,0.2002
172523,0.4678,0.2006
172715,0.4165,0.3596
172948,0.4537,0.2388
173265,0.5008,0.2001
173565,0.3904,0.2384
173715,0.3671,0.2631
173915,0.3639,0.2952
174073,0.4299,0.6249
174182,0.4128,0.5592
174332,0.4164,0.5769
174448,0.405,0.5831
174965,0.421,0.2484
175098,0.5181,0.1856
175215,0.5408,0.1715
175432,0.5725,0.1329
175654,0.6049,0.2762
175890,0.6094,0.3263
176115,0.609,0.3578
176507,0.5994,0.3222
177215,0.4072,0.3161
177657,0.4185,0.246
177782,0.4869,0.1707
177940,0.5455,0.1502
178057,0.573,0.1445
178523,0.507,0.4031
178665,0.47,0.6433
178773,0.4689,0.6057
179132,0.427,0.5818
179382,0.4403,0.577
179607,0.4459,0.457
180890,0.4492,0.4388
181032,0.4315,0.3272
181282,0.393,0.3424
181473,0.4111,0.3639
181948,0.4267,0.3654
182640,0.405,0.3685
182898,0.3938,0.3892
183132,0.4315,0.3862
184090,0.4906,0.7024
184298,0.4985,0.7328
184540,0.3913,0.3881
185148,0.3855,0.3574
185290,0.3585,0.2881
185857,0.6033,0.3168
186207,0.4446,0.7931
186348,0.4856,0.7786
186532,0.495,0.8031
187073,0.4291,0.3861
187532,0.3928,0.389
187898,0.3903,0.3423
188307,0.3986,0.3828
189090,0.3979,0.3634
189965,0.4421,0.3751
192248,0.4358,0.3828
192598,0.4946,0.7638
192846,0.4976,0.8188
192990,0.5014,0.7998
193398,0.5059,0.7144
193582,0.5047,0.8423
194148,0.4,0.3634
194915,0.4815,0.8499
195265,0.5108,0.8926
195498,0.5029,0.7536
195748,0.5002,0.7872
196265,0.6666,0.7964
196498,0.5034,0.7557
197090,0.5,0.7781
