participant,age,gender,profession,difficult,mental workload,stressed,time pressure,phisically demanding,confidence,task understanding,visual aids,type,visual aid,chart design,feedback,eye tracking problems,distracted,fatigue,time,working with charts or vis,similar vis test experience
29,22,male,Software Engineering,2,3,2,3,1,4,4,no,none,none,2,1,1,1,3,midday,2,1
34,30,female,Informatik,3,4,4,5,1,4,5,yes,near-sighted,glasses,4,3,1,1,2,midday,4,1
36,22,female,Informatik,3,4,2,3,1,3,5,no,none,none,1,2,2,3,5,evening,1,1
38,20,female,Software Engineering,3,4,3,3,3,4,3,yes,near-sighted,none,2,2,2,2,1,midday,3,2
41,29,female,Research Assistant,2,4,4,4,1,4,4,yes,near-sighted,glasses,4,3,2,2,3,midday,4,1
