t,x,y
269048,0.4659,0.3168
269227,0.4795,0.1886
269456,0.3865,0.1669
269827,0.411,0.1699
270027,0.4408,0.1671
270218,0.4824,0.1731
270443,0.4815,0.1687
271440,0.5202,0.1658
271784,0.5358,0.1654
272268,0.5627,0.1653
272493,0.5869,0.1623
272677,0.6354,0.1659
272977,0.5818,0.1562
273143,0.5658,0.1862
273468,0.6154,0.1715
273635,0.6418,0.161
273792,0.4306,0.2952
274285,0.4982,0.2166
274616,0.5303,0.2154
274816,0.553,0.2117
274968,0.4178,0.2801
275277,0.6167,0.1776
275560,0.5648,0.1981
275743,0.6088,0.1709
276024,0.5462,0.2089
276168,0.492,0.5941
276418,0.4345,0.6009
276793,0.4393,0.5729
276993,0.4342,0.5375
277143,0.4392,0.3756
277435,0.4395,0.3221
277600,0.441,0.2829
277952,0.4182,0.291
278277,0.4408,0.2855
278624,0.4996,0.7818
278860,0.4939,0.7316
279016,0.4987,0.691
279210,0.5,0.6652
279960,0.4968,0.8279
280119,0.4945,0.8022
280402,0.4943,0.7779
280619,0.4938,0.819
280744,0.5027,0.8862
281052,0.4582,0.4026
281310,0.438,0.2958
