regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,0,0.0,0.0
8,0,0.0,0.0
9,0,0.0,0.0
10,0,0.0,0.0
11,0,0.0,0.0
12,0,0.0,0.0
13,0,0.0,0.0
14,9,1900.0,211.11111111111111
15,6,892.0,148.66666666666666
16,5,1158.0,231.6
17,3,725.0,241.66666666666666
18,1,175.0,175.0
19,0,0.0,0.0
20,14,4492.0,320.85714285714283
21,10,2409.0,240.9
22,3,600.0,200.0
23,9,1642.0,182.44444444444446
24,0,0.0,0.0
25,0,0.0,0.0
26,4,926.0,231.5
27,10,2342.0,234.2
28,4,1108.0,277.0
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,3,709.0,236.33333333333334
34,7,1884.0,269.14285714285717
35,0,0.0,0.0
36,0,0.0,0.0
