Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,1,0,3,Participant1,11
0,0,0,1,0,0,Participant1,11
1,1,0,0,1,1,Participant1,11
1,0,2,0,4,7,Participant1,11
1,0,1,3,0,0,Participant1,11
1,0,1,9,0,0,Participant1,11
