answers,background,city_left,city_right,legend,question,seoul,y_axis,Participant,Question
0,1,0,2,1,0,0,1,Participant65,7
0,0,0,1,0,0,1,1,Participant65,7
0,0,0,0,0,0,4,0,Participant65,7
0,1,1,0,0,2,1,4,Participant65,7
1,0,0,1,0,1,1,0,Participant65,7
0,0,0,1,2,0,0,0,Participant65,7
2,0,2,2,1,0,0,0,Participant65,7
1,1,1,2,0,0,0,0,Participant65,7
