Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,2,0,1,Participant24,11
2,0,1,2,1,1,Participant24,11
0,1,0,0,0,3,Participant24,11
1,5,1,0,2,0,Participant24,11
0,0,0,4,0,0,Participant24,11
0,1,2,1,0,0,Participant24,11
