t,x,y
195106,0.4495,0.1308
195348,0.3976,0.1122
195731,0.4763,0.1437
195856,0.5222,0.1381
196073,0.563,0.1488
196306,0.5891,0.1451
196515,0.529,0.1478
196706,0.5814,0.1429
196865,0.6263,0.1323
197173,0.5052,0.1723
197373,0.3869,0.3057
197548,0.3856,0.3815
197890,0.3886,0.3458
198123,0.3876,0.3
198481,0.5681,0.1731
198698,0.6326,0.1427
198990,0.4961,0.1797
199231,0.5126,0.6177
199373,0.5987,0.6175
199548,0.6066,0.586
199831,0.6029,0.5684
199956,0.5417,0.5635
200140,0.5743,0.5758
200381,0.5956,0.5579
200556,0.5969,0.5323
200773,0.5943,0.3497
201623,0.4747,0.342
201923,0.4177,0.3417
202265,0.5923,0.3407
202890,0.4114,0.3471
203248,0.4848,0.6981
203390,0.5041,0.7194
203665,0.5046,0.7879
204096,0.5089,0.6963
204406,0.5111,0.7299
204720,0.5075,0.8252
204981,0.5076,0.7973
205256,0.5041,0.8929
205623,0.517,0.72
205773,0.5082,0.6954
205940,0.5101,0.9092
206148,0.5166,0.1694
206448,0.3929,0.1122
206606,0.3821,0.0751
