Rest,Rest1,answers,background,year_2012,Participant,Question
0,1,0,1,1,Participant14,11
1,0,2,1,0,Participant14,11
1,0,0,1,1,Participant14,11
1,4,1,0,0,Participant14,11
0,0,0,2,0,Participant14,11
