from_region,2,3,4,6,7,8,9,11,14,15,20,21,22,27,28,33
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
8,0,1,0,0,2,6,1,0,1,0,0,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,0,1,6,2,0,2,0,0,0,0
15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,1
21,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,1
28,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
