regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,3,467.0,155.66666666666666
3,3,660.0,220.0
4,3,887.0,295.6666666666667
5,0,0.0,0.0
6,3,754.0,251.33333333333334
7,6,1048.0,174.66666666666666
8,11,2967.0,269.72727272727275
9,3,566.0,188.66666666666666
10,0,0.0,0.0
11,7,1427.0,203.85714285714286
12,0,0.0,0.0
13,0,0.0,0.0
14,12,3254.0,271.1666666666667
15,2,513.0,256.5
16,0,0.0,0.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,7,2200.0,314.2857142857143
21,3,700.0,233.33333333333334
22,1,307.0,307.0
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,7,2300.0,328.57142857142856
28,2,367.0,183.5
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,2,780.0,390.0
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
