regionid,fixation_count,dwell_time,mean_duration
1,3,433.0,144.33333333333334
2,2,514.0,257.0
3,2,467.0,233.5
4,4,986.0,246.5
5,6,1353.0,225.5
6,3,687.0,229.0
7,1,360.0,360.0
8,10,2878.0,287.8
9,1,420.0,420.0
10,0,0.0,0.0
11,1,107.0,107.0
12,0,0.0,0.0
13,0,0.0,0.0
14,3,833.0,277.6666666666667
15,1,107.0,107.0
16,0,0.0,0.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,6,1573.0,262.1666666666667
21,8,1599.0,199.875
22,3,666.0,222.0
23,1,327.0,327.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,6,1327.0,221.16666666666666
28,0,0.0,0.0
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,4,1086.0,271.5
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
