t,x,y
96724,0.3955,0.2709
96877,0.4074,0.2679
97177,0.4778,0.1926
97361,0.407,0.1382
97569,0.3842,0.1314
97751,0.4393,0.1319
98009,0.4749,0.1309
98286,0.5744,0.1468
98536,0.5417,0.1406
98952,0.5977,0.1475
99152,0.6363,0.133
99302,0.5494,0.1344
99527,0.5182,0.1316
99852,0.6572,0.0763
100011,0.5135,0.1371
100417,0.53,0.132
100633,0.5919,0.1345
100944,0.6211,0.1539
101144,0.6337,0.1469
101394,0.5042,0.1652
101577,0.4404,0.1866
101886,0.4898,0.1892
102249,0.507,0.262
102425,0.4898,0.4007
102752,0.4141,0.3837
103036,0.5909,0.3921
103201,0.5366,0.57
103401,0.5259,0.5829
103593,0.471,0.5661
103861,0.587,0.3047
104011,0.6145,0.3046
104769,0.5845,0.1567
105052,0.5563,0.4509
105344,0.5631,0.4499
105669,0.537,0.2315
105841,0.5059,0.1594
106019,0.4811,0.1394
106236,0.5244,0.1425
106577,0.5257,0.5552
106819,0.477,0.4791
107017,0.4872,0.4439
107144,0.5185,0.4353
107385,0.4624,0.4511
107969,0.484,0.4605
108202,0.4836,0.589
108633,0.5032,0.7072
108927,0.5056,0.7328
109069,0.4991,0.7086
109336,0.4777,0.5601
109502,0.4787,0.4628
109802,0.4554,0.4539
110119,0.4002,0.4423
110394,0.4132,0.4475
110544,0.4776,0.4556
110994,0.4898,0.7032
111161,0.4988,0.6674
111369,0.6309,0.1239
111544,0.6581,0.0804
111711,0.5165,0.6286
111894,0.5032,0.6892
112201,0.5034,0.8856
112844,0.5097,0.8027
