regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,0,0.0,0.0
3,5,841.0,168.2
4,4,792.0,198.0
5,5,1425.0,285.0
6,0,0.0,0.0
7,2,384.0,192.0
8,0,0.0,0.0
9,6,1200.0,200.0
10,4,667.0,166.75
11,5,1092.0,218.4
12,2,483.0,241.5
13,0,0.0,0.0
14,1,92.0,92.0
15,0,0.0,0.0
16,6,2708.0,451.3333333333333
17,15,3015.0,201.0
18,1,308.0,308.0
19,2,500.0,250.0
20,6,1667.0,277.8333333333333
21,0,0.0,0.0
22,0,0.0,0.0
23,0,0.0,0.0
24,6,1392.0,232.0
25,2,517.0,258.5
26,0,0.0,0.0
27,0,0.0,0.0
28,0,0.0,0.0
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,3,575.0,191.66666666666666
33,2,441.0,220.5
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
37,0,0.0,0.0
38,0,0.0,0.0
39,6,1434.0,239.0
40,1,192.0,192.0
41,0,0.0,0.0
42,0,0.0,0.0
43,0,0.0,0.0
44,0,0.0,0.0
45,0,0.0,0.0
46,2,416.0,208.0
47,0,0.0,0.0
48,0,0.0,0.0
49,0,0.0,0.0
