from_region,2,3,4,5,6,8,9,10,11,15,20,22,23,27,28
2,6,5,0,0,0,1,2,0,0,0,1,0,0,0,0
3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0
9,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,1,1,0,3
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
28,1,0,0,0,0,0,0,0,0,1,0,3,0,1,7
