from_region,3,4,5,7,9,10,11,12,14,16,17,18,19,20,24,25,32,33,39,40,46
3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
17,0,0,0,0,0,1,0,0,0,4,7,0,0,2,0,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0
24,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
