t,x,y
132958,0.4434,0.1796
133079,0.4327,0.1721
133246,0.3674,0.123
133454,0.3529,0.1181
133702,0.3743,0.1218
134246,0.4364,0.1271
134629,0.3945,0.1001
134896,0.4539,0.128
135121,0.4923,0.1344
135313,0.5135,0.1391
135821,0.5652,0.1308
136004,0.6158,0.1349
136204,0.6325,0.1297
136596,0.6343,0.1332
137179,0.3789,0.153
137471,0.4221,0.1534
137729,0.4479,0.1558
138004,0.4658,0.16
138213,0.4885,0.1579
138646,0.56,0.1617
138838,0.5844,0.1626
139213,0.615,0.1679
139463,0.5355,0.1534
139646,0.4253,0.1557
139938,0.3983,0.3222
140094,0.4006,0.3516
140294,0.5542,0.4023
140496,0.5442,0.4055
141104,0.3722,0.1229
141821,0.4143,0.1338
142071,0.4495,0.1343
142329,0.4963,0.1298
142579,0.5176,0.135
143029,0.5755,0.1335
143246,0.628,0.1368
143463,0.659,0.1422
143663,0.6428,0.1381
143913,0.6611,0.1419
144679,0.4423,0.1652
144888,0.5062,0.1573
145238,0.4831,0.6652
145396,0.5022,0.6969
145979,0.408,0.4862
146154,0.4031,0.3087
146363,0.3743,0.3095
146734,0.4403,0.2145
146963,0.4958,0.2069
147271,0.4906,0.3021
147621,0.3962,0.3641
148021,0.5412,0.4025
148412,0.4852,0.2993
148821,0.5362,0.3909
149270,0.4972,0.7431
149494,0.509,0.734
150237,0.5146,0.8496
150471,0.3974,0.3738
151162,0.4735,0.6934
151337,0.5116,0.7308
151571,0.6655,0.6943
151879,0.3934,0.4216
152029,0.4029,0.3687
152902,0.471,0.2996
153038,0.3816,0.3173
153462,0.4887,0.312
153888,0.455,0.3095
154079,0.4983,0.275
154929,0.4128,0.3049
155279,0.4898,0.2635
155526,0.491,0.2886
155771,0.5113,0.8595
156126,0.5155,0.8156
156554,0.4386,0.3582
156763,0.4911,0.3013
157296,0.4995,0.8859
157404,0.5057,0.8424
157879,0.3897,0.3457
157979,0.3781,0.3079
158604,0.5194,0.835
158854,0.5097,0.8371
159204,0.548,0.4203
