Rest,Rest1,answers,background,year_2012,Participant,Question
0,2,1,10,0,Participant10,11
1,0,0,6,1,Participant10,11
0,0,0,0,2,Participant10,11
10,4,1,0,1,Participant10,11
1,2,0,0,0,Participant10,11
