Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,1,1,0,Participant3,11
0,0,0,0,0,1,Participant3,11
1,1,0,0,0,1,Participant3,11
0,0,2,0,4,1,Participant3,11
1,0,0,4,0,0,Participant3,11
0,0,1,2,0,0,Participant3,11
