answers,background,city_left,city_right,legend,seoul,y_axis,Participant,Question
0,0,0,0,0,2,0,Participant51,7
0,0,0,3,1,0,0,Participant51,7
0,1,0,1,0,2,0,Participant51,7
0,1,2,0,1,0,1,Participant51,7
0,2,0,0,0,0,0,Participant51,7
2,0,1,0,0,0,2,Participant51,7
0,0,1,1,0,1,0,Participant51,7
