t,x,y
60636,0.2352,0.4552
60902,0.4441,0.5249
61302,0.4275,0.3071
61469,0.4074,0.2175
61911,0.402,0.2669
62094,0.398,0.1499
62294,0.4129,0.1679
62502,0.3774,0.1308
62652,0.4236,0.6323
62794,0.4989,0.6631
63177,0.4967,0.7151
63444,0.4072,0.1354
63602,0.4087,0.1632
63777,0.3827,0.1225
64019,0.4135,0.1229
64469,0.4761,0.1229
64702,0.401,0.123
65252,0.4283,0.1362
65465,0.4165,0.1359
65702,0.4591,0.1271
66036,0.492,0.1339
66219,0.4444,0.1285
66486,0.4916,0.1268
66677,0.5586,0.1277
66886,0.5319,0.1252
67086,0.6008,0.1279
67627,0.4546,0.193
67819,0.648,0.0741
68286,0.4225,0.1803
68644,0.4511,0.2434
68811,0.4121,0.2452
69011,0.4098,0.1965
69265,0.4004,0.139
69652,0.4233,0.3089
69833,0.4199,0.5264
70052,0.4101,0.5855
70244,0.5133,0.6387
70369,0.5039,0.6664
70544,0.5068,0.5807
71019,0.426,0.1756
71219,0.4101,0.1858
71402,0.4472,0.1958
71627,0.4932,0.2003
71819,0.5363,0.2045
72094,0.5836,0.2019
72477,0.5551,0.2854
72886,0.6544,0.1124
73161,0.3962,0.1499
73511,0.4388,0.1429
73777,0.423,0.1427
74094,0.4584,0.1429
74411,0.5032,0.1512
74586,0.5519,0.1442
74827,0.603,0.1496
75144,0.6234,0.1551
75477,0.4905,0.7129
75719,0.5127,0.5166
75911,0.5686,0.5333
76377,0.5504,0.562
76536,0.5009,0.7307
76836,0.4916,0.7466
77036,0.5036,0.7446
77233,0.5031,0.6693
77452,0.5006,0.7426
78411,0.4993,0.6568
78793,0.5081,0.541
78985,0.509,0.5714
79186,0.6428,0.1852
79411,0.6597,0.0628
79627,0.5168,0.6588
79886,0.4967,0.7297
80344,0.5099,0.5928
80952,0.5012,0.7424
81786,0.5022,0.7908
82386,0.5062,0.7492
82819,0.4815,0.4881
