answers,background,computer,question,retail,search_portal,social_network,software,Participant,Question
0,0,1,0,0,3,1,0,Participant29,1
0,0,0,2,0,1,0,2,Participant29,1
1,0,0,0,1,0,0,0,Participant29,1
0,2,0,0,0,1,0,0,Participant29,1
0,0,0,0,0,1,0,0,Participant29,1
2,2,0,0,0,0,0,3,Participant29,1
1,0,1,0,0,0,0,0,Participant29,1
1,1,0,1,0,1,1,0,Participant29,1
