Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,1,0,1,Participant7,11
1,0,3,4,0,1,Participant7,11
1,3,0,1,0,1,Participant7,11
1,4,2,0,2,0,Participant7,11
0,1,0,1,0,0,Participant7,11
0,1,0,2,0,0,Participant7,11
